"birthdate","gender","married","has_children","home_country","home_city","home_airport","home_airport_lat","home_airport_lon","sign_up_date","user_id","bargain_hunter_index","flight_index","browsing_index","hotel_index","discount_flight_proportion","total_hotel_spending","cancellation_pref","avg_cost_per_night","avg_rooms_booked","total_free_checked_bag","is_frequent_traveler","is_flight_discount_lover","is_hotel_discount_lover","preferred_perk","user_group_classification"
"1984-05-26","F","false","false","usa","san jose","SJC","37.362","-121.929","2023-01-15","531931","0","0.3533868092691622","0.26869547154133776485","0.41055185801442041043","0.5","985","0","320.5000000000000000","1.5000000000000000","8","true","false","false","Free Hotel Night with Flight","Frequent Traveler"
"1981-08-20","F","false","false","usa","los angeles","LAX","33.942","-118.408","2023-02-22","611065","0","0.1323529411764706","0.55472134844797910855","0.41085690515806988353","0","1681","0","323.2500000000000000","1.5000000000000000","16","false","false","false","Free Checked Bags","Family Traveler"
"1976-11-08","F","true","false","usa","colorado springs","COS","38.806","-104.7","2022-06-27","229330","0","0.04411764705882353","0.54184224583061309277","0.48949667221297836938","0","3521","0","468.7500000000000000","1.7500000000000000","8","false","false","false","Free Checked Bags","Family Traveler"
"1987-09-26","F","false","false","canada","montreal","YUL","45.468","-73.741","2023-02-11","586762","0.0009838638280161333","0.4520413703436578","0.41529912754466140424","0.44603438713255684136","0.3333333333333333","5819","0","1016.0000000000000000","1.3333333333333333","8","true","true","false","Free Hotel Night with Flight","Luxury Traveler"
"1995-11-09","M","false","false","usa","new york","LGA","40.777","-73.872","2023-01-17","536035","0","0.7018716577540107","0.28382990088432547926","0.40018025513033832501","1.5","582","0","227.0000000000000000","1.5000000000000000","8","false","false","false","Free Checked Bags","Family Traveler"
"1978-11-01","F","false","false","usa","san diego","SAN","32.733","-117.189","2022-12-19","477730","0","0","0.69159148910914594338","0.38783139212423738214","0","5792","0","791.8000000000000000","1.2000000000000000","0","false","false","true","Exclusive Hotel Discount","Luxury Traveler"
"1985-08-14","F","false","false","usa","san jose","SJC","37.362","-121.929","2023-01-06","513030","0","0.33838383838383834","0.40348833758680040358","0.32990386393048622666","0.6666666666666666","2161","0","720.3333333333333333","1.00000000000000000000","0","false","false","false","Luxury Hotel","Comfort Seeker"
"1983-02-07","F","true","true","usa","miami","TNT","25.862","-80.897","2023-02-03","570821","0.0002594779685958905","0.38070911508826","0.40194521930084871506","0.28268626363468293585","0.3333333333333333","884","0","294.6666666666666667","1.00000000000000000000","16","true","true","false","Free Hotel Night with Flight","Frequent Traveler"
"1985-06-28","F","false","false","usa","charlotte","CLT","35.214","-80.943","2023-01-08","517076","0","0.4333333333333333","0.32846162977031277821","0.38228508042151968941","0.6","4450","0","741.8000000000000000","1.2000000000000000","0","false","false","true","Exclusive Hotel Discount","Exclusive Discount Lover"
"1975-12-12","F","true","true","usa","el paso","ELP","31.807","-106.378","2023-02-10","585248","0","0","0.14891833343225117218","0.26342207432057681642","0","121","0","121.0000000000000000","1.00000000000000000000","0","false","false","false","Luxury Hotel","Comfort Seeker"
"1982-01-26","F","true","false","usa","philadelphia","PHL","39.872","-75.241","2023-01-19","539267","0","0.08823529411764706","0.27652976437770787584","0.51103716028840820854","0","351","0","99.5000000000000000","2.0000000000000000","8","false","false","false","Free Checked Bags","Family Traveler"
"1981-02-24","F","false","false","usa","st. louis","STL","38.748","-90.36","2023-02-22","611954","0.0007767844692868274","0.48397322176087565","0.54463172888598729895","0.29600665557404326123","0.5","1659","0","414.7500000000000000","1.00000000000000000000","24","false","true","true","Exclusive Hotel Discount","Exclusive Discount Lover"
"1989-10-24","F","false","false","usa","baltimore","BWI","39.175","-76.668","2023-02-06","577541","0.0019068608463511326","0.6596159264260895","1.00531188794587215859","0.28410981697171381032","0.75","615","1","307.5000000000000000","1.00000000000000000000","16","false","true","true","Exclusive Hotel Discount","Exclusive Discount Lover"
"1987-09-14","F","true","false","usa","los angeles","LAX","33.942","-118.408","2023-01-11","524607","0","0.32103386809269163","0.66725770075375393198","0.32476428175263449806","0.2","2022","0","674.0000000000000000","1.00000000000000000000","24","true","false","false","Free Hotel Night with Flight","Frequent Traveler"
"1981-04-20","F","false","false","usa","st. louis","STL","38.748","-90.36","2023-01-24","549579","0","0.606060606060606","0.14357677013472609650","0.27573488630061009429","2","232","0","232.0000000000000000","1.00000000000000000000","0","false","false","false","Luxury Hotel","Comfort Seeker"
"1968-07-05","F","true","false","canada","winnipeg","YWG","49.91","-97.234","2023-01-23","547266","0","0.17647058823529413","0.28745029378598136388","0.36583471991125900442","0","1050","0","293.0000000000000000","1.3333333333333333","16","false","false","true","Exclusive Hotel Discount","Family Traveler"
"1971-11-04","F","true","false","canada","toronto","YTZ","43.627","-79.396","2023-01-15","532119","0","0.029411764705882353","0.80377173719508576177","0.31597892401552967277","0","2974","0","594.8000000000000000","1.00000000000000000000","8","false","false","false","Free Checked Bags","Family Traveler"
"2001-09-28","F","false","false","usa","minneapolis","MSP","44.88","-93.217","2023-01-30","562032","0","0.26515151515151514","0.03762834589589886640","0.52585967831392124237","0.5","4360","0","1360.0000000000000000","1.5000000000000000","0","false","false","true","Exclusive Hotel Discount","Exclusive Discount Lover"
"1997-10-25","F","false","false","usa","new york","LGA","40.777","-73.872","2023-01-22","545879","0","0.26247771836007133","0.74875576615822897501","0.42346089850249584027","0.5","6255","1","1563.7500000000000000","1.00000000000000000000","16","true","false","false","Free Hotel Night with Flight","Luxury Traveler"
"1971-10-15","F","true","true","usa","montgomery","MXF","32.379","-86.362","2023-03-02","630176","0","0.5606060606060606","0.19396551724137931034","0.26198003327787021631","2","108","0","108.0000000000000000","1.00000000000000000000","0","false","false","false","Luxury Hotel","Comfort Seeker"
"1954-12-16","F","true","false","usa","austin","AUS","30.194","-97.67","2023-01-08","517324","0","0.6916221033868093","0.18245148080004748056","0.00000000000000000000","2","","0","","","8","false","false","false","Free Checked Bags","Comfort Seeker"
"1988-06-01","M","true","true","usa","new york","LGA","40.777","-73.872","2023-01-19","539953","0","0.5606060606060606","0.28009080657605792629","0.30102606766500277316","2","920","0","460.0000000000000000","1.00000000000000000000","0","false","false","false","Luxury Hotel","Comfort Seeker"
"1955-04-27","F","true","false","usa","san diego","NZY","32.699","-117.215","2023-02-06","577944","0","0","0.02344352780580449878","0.54858569051580698835","0","876","0","438.0000000000000000","2.0000000000000000","0","false","false","true","Exclusive Hotel Discount","Exclusive Discount Lover"
"1974-02-16","M","true","true","usa","austin","AUS","30.194","-97.67","2023-02-01","565601","0","0.20454545454545456","0.01988248560745444834","0.00000000000000000000","0","","0","","","0","false","false","false","Luxury Hotel","Comfort Seeker"
"1975-01-11","F","true","true","usa","san francisco","SFO","37.619","-122.375","2023-01-15","531109","0.000012044657261389452","0.48771260674475614","0.54498783310582230399","0.26442041042706600111","0.5","520","0","130.0000000000000000","1.00000000000000000000","24","false","true","true","Exclusive Hotel Discount","Exclusive Discount Lover"
"1994-05-14","F","false","false","usa","new york","LGA","40.777","-73.872","2023-01-27","555478","0.004898226659395155","0.6940333499070745","0.42218380912813816844","0.38410981697171381032","1","3627","0","1209.0000000000000000","1.00000000000000000000","8","false","true","false","Exclusive Flight Discount","Family Traveler"
"1974-04-05","F","true","false","usa","columbus","CMH","39.998","-82.892","2023-01-13","528158","0","0.29619726678550207","0.41405276277523888658","0.29359400998336106489","0.3333333333333333","393","0","393.0000000000000000","1.00000000000000000000","8","true","false","true","Free Hotel Night with Flight","Frequent Traveler"
"1978-08-05","F","false","false","usa","cincinnati","CVG","39.046","-84.662","2023-03-02","629952","0","0.11764705882352941","0.46188942963974123093","0.37618783508966536419","0","1429","0","386.3333333333333333","1.3333333333333333","16","false","false","false","Free Checked Bags","Family Traveler"
"1976-06-24","F","true","false","usa","nashville","BNA","36.124","-86.678","2023-01-10","521708","0.00033227245243784527","0.5595859533403987","0.56225888776782004867","0.29969495285635052690","0.25","1344","0","448.0000000000000000","1.00000000000000000000","24","true","true","true","Free Hotel Night with Flight","Frequent Traveler"
"1981-11-03","F","true","true","usa","fresno","FAT","36.776","-119.718","2023-01-09","520265","0","0.35017825311942957","0.53745029378598136388","0.33541320022185246811","0.2","3850","0","770.0000000000000000","1.00000000000000000000","8","true","false","true","Free Hotel Night with Flight","Frequent Traveler"
"1980-02-22","F","false","false","usa","san antonio","SKF","29.384","-98.581","2023-01-06","512831","0","0.5438948306595366","0.40977951213721882604","0.31139767054908485857","0.75","1107","0","553.5000000000000000","1.00000000000000000000","24","false","false","false","Free Checked Bags","Family Traveler"
"1976-06-13","M","true","true","canada","edmonton","YEG","53.31","-113.58","2023-01-23","548123","0","0.36363636363636365","0.01329455754050685501","0.00000000000000000000","0","","0","","","0","false","false","false","Luxury Hotel","Comfort Seeker"
"1981-08-01","F","false","true","usa","baltimore","BWI","39.175","-76.668","2023-02-11","586811","0","0.6715686274509804","0.47100718122407528307","0.28189129229062673322","0.5","575","0","287.5000000000000000","1.00000000000000000000","18","false","false","false","Free Checked Bags","Comfort Seeker"
"1977-06-28","F","true","false","canada","toronto","YKZ","43.862","-79.37","2023-01-13","527346","0","0.29619726678550207","0.43690278354798504362","0.64823904603438713256","0.3333333333333333","1159","0","209.5000000000000000","2.5000000000000000","8","true","false","false","Free Hotel Night with Flight","Frequent Traveler"
"1978-11-05","F","false","false","usa","new york","LGA","40.777","-73.872","2023-02-10","585492","0.01231525011493041","0.8172859330824164","0.15918600510416048430","0.26331114808652246256","3","120","0","120.0000000000000000","1.00000000000000000000","0","false","true","false","Exclusive Flight Discount","Exclusive Discount Lover"
"1990-01-05","M","true","false","usa","houston","EFD","29.607","-95.159","2023-01-07","515516","0","0.18181818181818182","0.04101133598433141433","0.00000000000000000000","0","","0","","","0","false","false","false","Luxury Hotel","Comfort Seeker"
"1987-08-12","F","false","false","usa","san jose","SJC","37.362","-121.929","2023-01-26","553985","0","0.5882352941176471","1.00994124280372722417","0.26428175263449805879","1","515","1","128.7500000000000000","1.00000000000000000000","16","false","false","false","Free Checked Bags","Comfort Seeker"
"1971-08-09","F","false","false","canada","calgary","YYC","51.114","-114.02","2023-01-13","528281","0.0003521065460404689","0.33207262465995724","0.41286574870912220310","0.48563505268996117582","0.2","4480","0","772.0000000000000000","1.6000000000000000","8","true","true","true","Free Hotel Night with Flight","Frequent Traveler"
